name,bus0,bus1,c_nfkm,,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm
177,157,110,13.7,3,50,1084345,2.6,57.541,57541,1,Amprion,Gütersloh Süd,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(8.364229530696 51.9271204904611,7.99288723332679 51.6837077155955)",0.25
178,119,158,13.7,3,50,1084358,2.6,4.315,4315,1,Amprion,Hambach 3c,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.45655246642153 50.8713380368705,6.48812326381716 50.8810703125704)",0.25
179,159,60,6.85,3,50,1086366,1.3,31.674,31674,0.5,transpower,302,0.05,302,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(8.05408735442182 53.3323026933898,8.47470704898602 53.4286511943138)",0.5
180,160_220kV,161,11.5,3,50,1086367,1.3,32.238,32238,1,TenneT,302,0.08,302,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(8.47791063608626 53.428485468955,8.05283751634017 53.3338809598955)",0.32
181,115,151,23,3,50,1101991,2.6,11.477,11477,2,Amprion,Frimmersdorf 4d,0.04,,990.7330619,Al/St 240/40 2-bundle 220.0,220000,4,"SRID=4326;LINESTRING(6.57648208812114 51.0555954583116,6.70967369516713 51.0909407427733)",0.16
182,162,134,11.5,3,50,1101996,1.3,4.813,4813,1,Amprion,Bocklemünd Süd,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.85153113794826 50.9841704680083,6.80461158012622 50.9662452961379)",0.32
183,115,123_220kV,11.5,3,50,1101999,1.3,5.73,5730,1,Amprion,Frimmersdorf 3c,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.57648208812114 51.0555954583116,6.70220337779745 51.0088609096753)",0.32
184,138,87,13.7,3,50,1128370,2.6,12.948,12948,1,Amprion,Scholven F,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.00674987859998 51.5999114220203,7.06030699176008 51.6964760130648)",0.25
185,162,134,11.5,3,50,1102004,1.3,4.813,4813,1,Amprion,Bocklemünd Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.85153113794826 50.9841704680083,6.80461158012622 50.9662452961379)",0.32
186,123,163,13.7,3,50,1102892,2.6,13.157,13157,1,Amprion,Paffendorf Süd,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.59601979462215 50.9525274624278)",0.25
